<unk> sp
w1 UC82AC
w2 UC82AD
w3 UC82AF
w4 UC82B1
w5 UC82B3
w6 UC82B9
w7 UC82EF
w8 UC82F1
w9 UC82F9
w10 UC8303
w11 UC5973
w12 UC5974
w13 UC5976
w14 UC5982
w15 UC5986
w16 UC5988
w17 UC5987
w18 UC597D
w19 UC59A5
w20 UC5978
w21 UC5438
w22 UC5401
w23 UC5403
w24 UC5415
w25 UC5408
w26 UC5413
w27 UC544A
w28 UC542E
w29 UC543E
w30 UC5448
w31 UC5B81
w32 UC5B89
w33 UC5B85
w34 UC5B88
w35 UC5B87
w36 UC5B8C
w37 UC5B8B
w38 UC5B8F
w39 UC5B9B
w40 UC5B9D
w41 UC65E5
w42 UC65E6
w43 UC65E7
w44 UC65E9
w45 UC65F1
w46 UC65F6
w47 UC65F7
w48 UC660C
w49 UC660E
w50 UC6614
